UID          PID    PPID  C STIME TTY          TIME CMD
dongsub    17181       1  0 20:16 ?        00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/desktop.so desktop  local:/run/user/1000/plasmashellMcLDTF.23.slave-socket
dongsub    17184       1  0 20:16 ?        00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/kio_file.so file  local:/run/user/1000/kio_desktopgbQjcA.1.slave-socket
dongsub    17202       1  0 20:17 ?        00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/tags.so tags  local:/run/user/1000/plasmashellwkvtUd.24.slave-socket
root       17238       2  0 20:17 ?        00:00:00 [kworker/u64:0-ext4-rsv-conversion]
root       17239       2  0 20:17 ?        00:00:00 [kworker/u64:1-flush-8:0]
root       17240       2  0 20:17 ?        00:00:00 [kworker/u64:6-ext4-rsv-conversion]
root       17241       2  0 20:17 ?        00:00:00 [kworker/u64:7-flush-8:0]
root       17242       2  0 20:17 ?        00:00:00 [kworker/u64:9]
dongsub    17265   14900  0 20:17 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 14 -isForBrowser -prefsLen 6512 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
root       17289       2  0 20:17 ?        00:00:00 [kworker/6:1]
root       17290       2  0 20:17 ?        00:00:00 [kworker/10:1-rcu_par_gp]
root       17291       2  0 20:17 ?        00:00:00 [kworker/9:1-mm_percpu_wq]
dongsub    17322   14900  0 20:17 ?        00:00:00 /usr/lib/firefox/firefox -contentproc -childID 15 -isForBrowser -prefsLen 6513 -prefMapSize 246551 -jsInitLen 278884 -parentBuildID 20211215221728 -appDir /usr/lib/firefox/browser 14900 true tab
root       17528       2  0 20:18 ?        00:00:00 [kworker/4:0]
root       17529       2  0 20:18 ?        00:00:00 [kworker/3:2-events]
root       17530       2  0 20:18 ?        00:00:00 [kworker/5:2-events]
dongsub    17585    1411  4 20:20 ?        00:00:01 /usr/bin/dolphin /home/dongsub/Desktop/2021-12-20
dongsub    17619       1  0 20:20 ?        00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/tags.so tags  local:/run/user/1000/dolphinySODkG.1.slave-socket
dongsub    17621       1  0 20:20 ?        00:00:00 /usr/lib/x86_64-linux-gnu/libexec/kf5/kioslave5 /usr/lib/x86_64-linux-gnu/qt5/plugins/kf5/kio/kio_trash.so trash  local:/run/user/1000/dolphinVSIbvj.2.slave-socket
